education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice
College/Trade,English_and_French,25-34,"Less than $25,000",-37381841919751787e27,Female,New Brunswick,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
Bachelor,English,65-74,"Less than $25,000",-5341322479013103e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,Neither English nor French,55-64,"$50,000 to $74,999",55000,Male,Quebec,Good/Very Good,Yes,No,Married,Own a residence,1
Bachelor,English,55-64,"$125,000 and more",125000,Female,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,1
No degree/diploma,French,35-44,"$25,000 to $49,999",45000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,4
Bachelor,English,55-64,"$100,000 to $ 124,999",101000,Female,Ontario,Good/Very Good,Yes,No,Divorced,Own a residence,1
Bachelor,English,45-54,"Less than $25,000",-4660550853492139e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"$25,000 to $49,999",41000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,6
College/Trade,English,35-44,"$75,000 to $99,999",80000,Male,Ontario,Good/Very Good,Yes,No,Never Married,No residence,1
College/Trade,English_and_French,15-24,"Less than $25,000",-3859727608921467e28,Female,Ontario,Don't Know,Yes,Yes,Never Married,Own a residence,3
High School,English,55-64,"$125,000 and more",150000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,English,55-64,"$75,000 to $99,999",89000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English_and_French,45-54,"$50,000 to $74,999",65000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,Own a residence,1
Bachelor,French,55-64,"$75,000 to $99,999",90000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,5
Bachelor,English_and_French,75-84,"$50,000 to $74,999",50000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,French,65-74,"$25,000 to $49,999",40000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
College/Trade,French,35-44,"Less than $25,000",-4866059625040903e28,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,4
Bachelor,Neither English nor French,35-44,"$75,000 to $99,999",96000,Male,Ontario,Good/Very Good,Yes,No,Separated,Own a residence,2
College/Trade,English_and_French,35-44,"Less than $25,000",-4276788566855511e28,Male,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,3
Bachelor,English,65-74,"$75,000 to $99,999",81000,Female,Alberta,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,5
College/Trade,English_and_French,25-34,"$100,000 to $ 124,999",100000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,3
Postgrad,English,55-64,"$125,000 and more",165000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,25-34,"$25,000 to $49,999",34000,Male,Alberta,Poor/Fair,Yes,Yes,Married,No residence,3
College/Trade,French,25-34,"$125,000 and more",155000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,English,55-64,"Less than $25,000",-5092224897391236e28,Female,Alberta,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,French,45-54,"$50,000 to $74,999",50000,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,3
College/Trade,English,55-64,"$50,000 to $74,999",50000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
College/Trade,English,45-54,"Less than $25,000",-4602566738168811e28,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,French,65-74,"$75,000 to $99,999",90000,Male,Quebec,Don't Know,Yes,Yes,Married,Own a residence,4
High School,French,35-44,"Less than $25,000",45,Male,Quebec,Poor/Fair,Yes,Yes,Don't know/Prefer not to answer,No residence,1
Bachelor,English,55-64,"Less than $25,000",-5282597909259356e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,Neither English nor French,25-34,"Less than $25,000",24000,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,1
College/Trade,French,45-54,"Less than $25,000",-37427249198793717e27,Female,Quebec,Excellent,Yes,Yes,Widowed,Own a residence,5
No degree/diploma,Neither English nor French,25-34,"Less than $25,000",-483337073974501e29,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,2
College/Trade,English,45-54,"Less than $25,000",-4569954076123109e28,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,English_and_French,15-24,"Less than $25,000",-41629110310712174e27,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,3
College/Trade,English,55-64,"$50,000 to $74,999",60000,Male,Maintoba,Good/Very Good,Yes,Yes,Divorced,Own a residence,2
High School,Neither English nor French,35-44,"Less than $25,000",-5032988542957638e28,Female,Quebec,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,English,55-64,"Less than $25,000",-4359839242455703e28,Female,Ontario,Don't Know,Yes,No,Never Married,No residence,1
High School,French,35-44,"Less than $25,000",8000,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
High School,French,65-74,"Less than $25,000",18000,Female,Quebec,Poor/Fair,Yes,Yes,Divorced,No residence,4
College/Trade,English,65-74,"$50,000 to $74,999",65000,Female,Ontario,Don't Know,Yes,Yes,Married,Own a residence,5
Bachelor,English,55-64,"Less than $25,000",-4921702597679815e28,Female,Ontario,Poor/Fair,Yes,No,Divorced,Own a residence,1
High School,English,15-24,"$25,000 to $49,999",38000,Female,Ontario,Poor/Fair,Yes,No,Never Married,Own a residence,3
Bachelor,English,65-74,"$100,000 to $ 124,999",100000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English,25-34,"Less than $25,000",-4864099598607439e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,5
College/Trade,French,65-74,"$50,000 to $74,999",70000,Male,Quebec,Good/Very Good,Yes,Yes,Separated,Own a residence,1
Bachelor,English,35-44,"$125,000 and more",165000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English,55-64,"Less than $25,000",18000,Female,Ontario,Don't Know,Yes,Yes,Widowed,Own a residence,3
Bachelor,English_and_French,15-24,"Less than $25,000",-38231840049730937e27,Female,Alberta,Don't Know,Yes,Yes,Never Married,No residence,1
Bachelor,English_and_French,25-34,"$100,000 to $ 124,999",120000,Female,Alberta,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,English,35-44,"$50,000 to $74,999",60000,Female,New Brunswick,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,5
Bachelor,English,55-64,"Less than $25,000",-5163047185853757e28,Male,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English_and_French,25-34,"Less than $25,000",-44248467858322787e27,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
High School,English,75-84,"Less than $25,000",-4675109494278484e28,Female,Ontario,Poor/Fair,Yes,Yes,Widowed,No residence,2
Bachelor,French,55-64,"$75,000 to $99,999",80000,Male,Quebec,Good/Very Good,Yes,No,Married,No residence,1
Bachelor,Neither English nor French,65-74,"Less than $25,000",20000,Male,Ontario,Don't Know,Yes,No,Married,No residence,1
Bachelor,English,45-54,"$125,000 and more",156000,Female,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English,65-74,"$125,000 and more",130000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,French,65-74,"$75,000 to $99,999",89000,Male,Nova Scoita,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",-4948043175138431e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,Neither English nor French,35-44,"$50,000 to $74,999",60000,Female,Quebec,Good/Very Good,Yes,No,Married,Own a residence,1
Bachelor,English,55-64,"$75,000 to $99,999",84000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English,75-84,"$125,000 and more",150000,Female,Prince Edward Island,Poor/Fair,Yes,Yes,Married,Own a residence,1
High School,English,55-64,"$75,000 to $99,999",75000,Female,Ontario,Don't Know,Yes,Yes,Married,Own a residence,2
College/Trade,English,35-44,"$25,000 to $49,999",36000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$75,000 to $99,999",80000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,English,65-74,"$50,000 to $74,999",60000,Female,Ontario,Excellent,Yes,Yes,Never Married,No residence,3
Bachelor,English,75-84,"$100,000 to $ 124,999",100000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,English_and_French,45-54,"$100,000 to $ 124,999",120000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,1
College/Trade,English_and_French,65-74,"$75,000 to $99,999",90000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$50,000 to $74,999",51000,Male,Ontario,Excellent,Yes,Yes,Widowed,Own a residence,2
Postgrad,English,65-74,"Less than $25,000",-4744135091843663e28,Female,Ontario,Excellent,Yes,Yes,Divorced,Own a residence,1
High School,English,45-54,"Less than $25,000",-40979143767303827e27,Male,Ontario,Don't Know,Yes,Yes,Living with a partner,No residence,5
Postgrad,English,65-74,"Less than $25,000",0,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,65-74,"$50,000 to $74,999",59000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"Less than $25,000",-512662336129854e29,Female,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$75,000 to $99,999",96000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,English,75-84,"Less than $25,000",-457974331925469e29,Female,Ontario,Poor/Fair,Yes,No,Never Married,No residence,1
Bachelor,English,35-44,"Less than $25,000",-5096896293724326e28,Male,Nova Scoita,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,English,55-64,"Less than $25,000",-41398153862635594e27,Female,Ontario,Excellent,Yes,No,Separated,No residence,1
High School,French,75-84,"$50,000 to $74,999",55000,Male,Maintoba,Don't Know,Yes,Yes,Married,Own a residence,5
High School,English,35-44,"$50,000 to $74,999",50000,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
High School,French,65-74,"$75,000 to $99,999",75000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,65-74,"Less than $25,000",-5142837135517588e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,65-74,"$100,000 to $ 124,999",100000,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,2
Postgrad,Neither English nor French,65-74,"$125,000 and more",250000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,English,65-74,"Less than $25,000",2000,Male,Ontario,Poor/Fair,No,No,Widowed,No residence,1
College/Trade,French,45-54,"$50,000 to $74,999",55000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Postgrad,English_and_French,25-34,"$100,000 to $ 124,999",124000,Male,Ontario,Excellent,Yes,Yes,Widowed,No residence,2
Bachelor,English_and_French,15-24,"Less than $25,000",-4294221913077604e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
College/Trade,English,65-74,"Less than $25,000",-5214432545517753e28,Female,Alberta,Good/Very Good,Yes,No,Married,Own a residence,2
College/Trade,French,55-64,"$50,000 to $74,999",60000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,2
Bachelor,English,65-74,"$75,000 to $99,999",75000,Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"Less than $25,000",-5294074952930866e28,Male,Ontario,Poor/Fair,Yes,Yes,Divorced,Own a residence,3
College/Trade,English,15-24,"Less than $25,000",-44512418084696023e27,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,6
Bachelor,English,25-34,"$75,000 to $99,999",90000,Female,Ontario,Good/Very Good,No,No,Married,Own a residence,1
Bachelor,French,45-54,"Less than $25,000",-4453942289333487e28,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,3
Bachelor,English,25-34,"Less than $25,000",18000,Female,British Columbia,Don't Know,Yes,Yes,Never Married,Own a residence,3
No degree/diploma,English,55-64,"$25,000 to $49,999",29000,Female,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Divorced,No residence,1
College/Trade,English,25-34,"$50,000 to $74,999",55000,Female,Ontario,Don't Know,Yes,Yes,Married,No residence,5
College/Trade,English,65-74,"$25,000 to $49,999",35000,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,1
Bachelor,English,35-44,"$125,000 and more",130000,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
College/Trade,English_and_French,25-34,"$25,000 to $49,999",30000,Female,Ontario,Don't Know,Yes,Yes,Living with a partner,No residence,5
Bachelor,English_and_French,35-44,"Less than $25,000",3435670899566516e40,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,1
High School,English,85+,"$100,000 to $ 124,999",115000,Male,New Brunswick,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
College/Trade,English,75-84,"$25,000 to $49,999",31000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,5
Bachelor,English,75-84,"Less than $25,000",-4583260477799185e28,Female,Ontario,Excellent,Yes,Yes,Widowed,Own a residence,1
College/Trade,French,65-74,"$50,000 to $74,999",50000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
College/Trade,French,35-44,"Less than $25,000",12000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,4
Postgrad,English_and_French,45-54,"$75,000 to $99,999",76000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,French,25-34,"$100,000 to $ 124,999",100000,Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,4
High School,English,25-34,"Less than $25,000",-502721735401466e29,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence,2
High School,French,35-44,"$100,000 to $ 124,999",120000,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,4
Postgrad,English_and_French,35-44,"$125,000 and more",180000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,65-74,"Less than $25,000",-5278525409892047e28,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,English,55-64,"Less than $25,000",7000,Female,Alberta,Excellent,Yes,Yes,Divorced,Own a residence,2
College/Trade,French,35-44,"$75,000 to $99,999",85000,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,3
No degree/diploma,English,55-64,"$75,000 to $99,999",80000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,French,35-44,"$125,000 and more",350000,Male,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,English,55-64,"Less than $25,000",-5224711795257702e28,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
No degree/diploma,English,55-64,"Less than $25,000",16000,Female,Ontario,Don't Know,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,55-64,"Less than $25,000",-5094685819468807e28,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$100,000 to $ 124,999",105000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,55-64,"$50,000 to $74,999",71000,Male,New Brunswick,Poor/Fair,Yes,Yes,Married,Own a residence,3
High School,French,65-74,"Less than $25,000",-5104246392849819e28,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English_and_French,55-64,"$50,000 to $74,999",50000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"Less than $25,000",-5191794240211237e28,Male,British Columbia,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
College/Trade,English,35-44,"$100,000 to $ 124,999",120000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,2
Bachelor,English,25-34,"Less than $25,000",-4829276462306217e28,Female,Ontario,Poor/Fair,Yes,No,Never Married,Own a residence,5
Postgrad,Neither English nor French,45-54,"$75,000 to $99,999",75000,Male,Ontario,Poor/Fair,Yes,No,Married,Own a residence,5
College/Trade,English,45-54,"Less than $25,000",-4522358100897143e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,45-54,"Less than $25,000",-4605408776497334e28,Female,Nova Scoita,Poor/Fair,Yes,Yes,Married,Own a residence,2
High School,English_and_French,75-84,"Less than $25,000",-414107851440957e29,Female,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English,25-34,"$75,000 to $99,999",83000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1
High School,English,55-64,"$125,000 and more",150000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
High School,French,55-64,"$75,000 to $99,999",90000,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,4
College/Trade,English,25-34,"$50,000 to $74,999",70000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,5
Postgrad,English,65-74,"Less than $25,000",-5273364006950589e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English_and_French,65-74,"Less than $25,000",-400263531399252e29,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English_and_French,45-54,"$100,000 to $ 124,999",100000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English_and_French,55-64,"Less than $25,000",-37911375727859475e27,Female,Quebec,Excellent,Yes,Yes,Divorced,Own a residence,4
Bachelor,English,55-64,"$125,000 and more",140000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Married,No residence,2
Bachelor,English,65-74,"$75,000 to $99,999",85000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"Less than $25,000",24000,Female,British Columbia,Don't Know,Yes,Yes,Separated,No residence,3
High School,English,55-64,"$125,000 and more",135000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
No degree/diploma,English,45-54,"Less than $25,000",0,Male,Saskatchewan,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
Bachelor,English,65-74,"$50,000 to $74,999",52000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,No residence,2
Bachelor,English,65-74,"$50,000 to $74,999",55000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,75-84,"$50,000 to $74,999",64000,Female,Ontario,Good/Very Good,Yes,No,Married,No residence,3
Bachelor,English,55-64,"$125,000 and more",175000,Female,British Columbia,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,35-44,"Less than $25,000",-43756065662093514e27,Female,Quebec,Poor/Fair,Yes,Yes,Separated,No residence,1
Bachelor,French,45-54,"Less than $25,000",18000,Male,Quebec,Poor/Fair,Yes,Yes,Separated,No residence,6
Bachelor,French,35-44,"$75,000 to $99,999",94000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,No residence,4
College/Trade,English_and_French,25-34,"Less than $25,000",-4294015021398516e28,Male,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
College/Trade,English,65-74,"$75,000 to $99,999",94000,Male,Nova Scoita,Good/Very Good,Yes,No,Married,Own a residence,3
College/Trade,English,45-54,"Less than $25,000",-37700999557334273e27,Female,Ontario,Excellent,No,No,Married,Own a residence,2
College/Trade,English,45-54,"$125,000 and more",540000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,2
Bachelor,English,65-74,"$125,000 and more",150000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,25-34,"Less than $25,000",-5117454793204222e28,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English,45-54,"$125,000 and more",130000,Male,Maintoba,Poor/Fair,Yes,Yes,Married,Own a residence,2
Postgrad,English,35-44,"$125,000 and more",275000,Female,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Own a residence,2
High School,French,15-24,"$25,000 to $49,999",36987,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,5
Bachelor,English,65-74,"Less than $25,000",-5341322479013103e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,French,65-74,"$50,000 to $74,999",73000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
Postgrad,English,25-34,"Less than $25,000",-4929651593771088e28,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
Bachelor,English,35-44,"$75,000 to $99,999",80000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,French,65-74,"$50,000 to $74,999",60000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
Bachelor,English_and_French,25-34,"$75,000 to $99,999",81000,Male,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,3
High School,English,55-64,"Less than $25,000",-5089720419170697e28,Female,British Columbia,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,English,25-34,"Less than $25,000",-4483016014763212e28,Female,British Columbia,Don't Know,Yes,No,Never Married,No residence,1
Postgrad,English_and_French,35-44,"$100,000 to $ 124,999",123000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,English,25-34,"$50,000 to $74,999",60000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
Bachelor,English,45-54,"Less than $25,000",-4737699671720455e28,Female,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,English_and_French,55-64,"Less than $25,000",24000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English_and_French,45-54,"Less than $25,000",34356708995668874e39,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"$125,000 and more",145000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,English,55-64,"$25,000 to $49,999",32000,Female,Alberta,Don't Know,Yes,Yes,Divorced,Own a residence,2
Bachelor,English,35-44,"Less than $25,000",-5016622322238209e28,Female,Nova Scoita,Poor/Fair,Yes,Yes,Never Married,No residence,3
Bachelor,English,35-44,"$125,000 and more",150000,Female,Ontario,Good/Very Good,Yes,No,Living with a partner,Own a residence,1
Postgrad,English,35-44,"$125,000 and more",250000,Male,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,55-64,"Less than $25,000",-5092442678106065e28,Female,Alberta,Good/Very Good,Yes,Yes,Divorced,Own a residence,3
Postgrad,English,35-44,"$75,000 to $99,999",90000,Male,Nova Scoita,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,English,35-44,"$75,000 to $99,999",85000,Female,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
Bachelor,English,65-74,"$25,000 to $49,999",26000,Female,Maintoba,Poor/Fair,Yes,Yes,Divorced,Own a residence,1
Bachelor,English,15-24,"$25,000 to $49,999",35000,Female,New Brunswick,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
College/Trade,English,45-54,"Less than $25,000",-4493110150895555e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,55-64,"Less than $25,000",-4824920848009629e28,Female,Nova Scoita,Poor/Fair,Yes,Yes,Widowed,No residence,1
College/Trade,English,55-64,"Less than $25,000",0,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,Neither English nor French,55-64,"Less than $25,000",-4668989856191778e28,Male,British Columbia,Poor/Fair,Yes,No,Married,Own a residence,5
High School,French,55-64,"$50,000 to $74,999",59000,Male,Quebec,Good/Very Good,Yes,Yes,Married,No residence,3
College/Trade,English_and_French,35-44,"$75,000 to $99,999",80000,Male,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Never Married,Own a residence,3
College/Trade,English,25-34,"$50,000 to $74,999",69000,Female,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,English,75-84,"Less than $25,000",-4941215749728529e28,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,No residence,3
High School,English,65-74,"$50,000 to $74,999",51000,Male,Ontario,Good/Very Good,Yes,No,Divorced,Own a residence,3
Postgrad,French,55-64,"$50,000 to $74,999",55000,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,4
Bachelor,English,75-84,"$50,000 to $74,999",50000,Female,Maintoba,Good/Very Good,Yes,Yes,Married,No residence,2
Bachelor,French,55-64,"$125,000 and more",150000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,5
Bachelor,English,45-54,"$50,000 to $74,999",65000,Female,Maintoba,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
High School,French,35-44,"$125,000 and more",135000,Male,Quebec,Poor/Fair,Yes,Yes,Married,No residence,3
College/Trade,English,35-44,"$25,000 to $49,999",49101,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,2
Bachelor,English,55-64,"$50,000 to $74,999",68000,Male,Saskatchewan,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,65-74,"Less than $25,000",-5092475345213289e28,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,French,55-64,"$50,000 to $74,999",60000,Male,Quebec,Excellent,Yes,Yes,Divorced,Own a residence,1
College/Trade,French,15-24,"$125,000 and more",4347727666871024e44,Female,Quebec,Excellent,Yes,No,Don't know/Prefer not to answer,No residence,1
College/Trade,English,45-54,"$100,000 to $ 124,999",124999,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,65-74,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Widowed,Own a residence,5
Postgrad,English,25-34,"Less than $25,000",-5145690062881853e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$75,000 to $99,999",84000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,35-44,"$100,000 to $ 124,999",115000,Male,Maintoba,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,25-34,"Less than $25,000",-4605724558533837e28,Female,Saskatchewan,Excellent,Yes,Yes,Married,Own a residence,6
College/Trade,French,45-54,"$75,000 to $99,999",77000,Female,Quebec,Poor/Fair,Yes,Yes,Divorced,Own a residence,1
Bachelor,English,45-54,"Less than $25,000",-4544136172380083e28,Male,Nunavut,Poor/Fair,Yes,Yes,Married,Own a residence,2
High School,English,65-74,"Less than $25,000",-5311050959651818e28,Female,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,3
High School,English,75-84,"$25,000 to $49,999",30000,Female,Maintoba,Good/Very Good,Yes,Yes,Widowed,No residence,1
High School,English_and_French,35-44,"$25,000 to $49,999",46000,Female,Nova Scoita,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
Bachelor,English,55-64,"$100,000 to $ 124,999",120000,Female,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,2
No degree/diploma,English,75-84,"$25,000 to $49,999",25000,Female,New Brunswick,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
